Colony,slide_id,Sample,NN_level,mean_distance,sd_distance,n,se_distance
SC8,1SG8T1,T1,2,1.274650665266657,0.27608847790920316,59,0.03594365827335241
SC8,1SG8T1,T1,3,1.498284866096225,0.2846877930208123,59,0.037063193742913746
SC8,1SG8T1,T1,4,1.773316800966877,0.2645269592545777,59,0.03443847675042224
SC8,1SG8T1,T1,5,1.9867571810947156,0.3081659753354118,59,0.040119792730260694
SC8,1SG8T1,T1,6,2.211042620777838,0.3240784457610811,59,0.042191419925993144
SC8,1SG8T1,T1,7,2.485186454373199,0.38781204903801186,59,0.05048882832950063
SC8,1SG8T1,T1,8,2.7128727636890066,0.3698230123371124,59,0.04814685523181646
SC8,1SG8T2,T2,1,1.199495612970438,0.23987956178022213,84,0.026173005941207233
SC8,1SG8T2,T2,2,1.4196527724124732,0.24721760255491465,84,0.026973651829366778
SC8,1SG8T2,T2,3,1.6337049686984315,0.2551247297669471,84,0.02783639013838544
SC8,1SG8T2,T2,4,1.8957984902724843,0.29289362449722917,84,0.031957314400679164
SC8,1SG8T2,T2,5,2.1435124479374807,0.30711060779498406,84,0.03350851445105737
SC8,1SG8T2,T2,6,2.418775283711494,0.3220933990973998,84,0.03514327100498704
SC8,1SG8T2,T2,7,2.6318806207504175,0.38176178833316854,84,0.04165362601139177
SC8,1SG8T2,T2,8,2.855368941922953,0.34496975982919836,84,0.03763928659257233
SC8,1SG8T3,T3,1,1.1318396280883634,0.20605375708910198,80,0.02303751039352306
SC8,1SG8T3,T3,2,1.3331141003251517,0.19286745604442346,80,0.021563237118139178
SC8,1SG8T3,T3,3,1.5699014456563436,0.22799507482689035,80,0.025490624292403896
SC8,1SG8T3,T3,4,1.7627736651639967,0.261529617280876,80,0.02923990011847712
SC8,1SG8T3,T3,5,2.0155400921231923,0.29698373794165395,80,0.03320379131247608
SC8,1SG8T3,T3,6,2.2419019886546208,0.322091584586912,80,0.03601093390584793
SC8,1SG8T3,T3,7,2.4950759375712317,0.3121150779710803,80,0.034895526557299134
SC8,1SG8T3,T3,8,2.667639780437893,0.292550168753778,80,0.032708103208124124
SC8,1SG8T4,T4,1,1.2130118815541842,0.21202482912838178,97,0.02152785971686133
SC8,1SG8T4,T4,2,1.441645421526397,0.17998728849996184,97,0.018274940315123462
SC8,1SG8T4,T4,3,1.6676180131375595,0.26080895614574146,97,0.026481137345508082
SC8,1SG8T4,T4,4,1.9235825138675715,0.3707524584742026,97,0.037644208692564296
SC8,1SG8T4,T4,5,2.1536262818242378,0.43828849762108996,97,0.0445014545281749
SC8,1SG8T4,T4,6,2.4206169789568226,0.4308692602185262,97,0.043748145103684
SC8,1SG8T4,T4,7,2.6371413092803055,0.415804543980885,97,0.042218554917612484
SC8,1SG8T4,T4,8,2.8451306959717844,0.39533330121133226,97,0.04014001513345401
SC8,1SG8T5,T5,1,1.1144114272402035,0.34716066787514016,63,0.043738132960986234
